#time,accel_x,accel_y,accel_z
2875.229067,-5181.441594,-2664.741391,75690.235202
2875.231614,-3404.947333,888.247130,79520.712692
2875.234160,-444.123565,3552.988522,81359.341888
2875.236706,592.164754,6513.812290,81359.341888
2875.239253,-3552.988522,5329.482782,77835.302597
2875.241799,-5181.441594,148.041188,75843.454302
2875.244345,-3552.988522,1332.370696,79520.712692
2875.246891,1184.329507,-148.041188,83044.751983
2875.249438,1628.453072,-1036.288319,81052.903688
2875.251984,-2220.617826,148.041188,76609.549800
2875.254530,-6069.688724,3552.988522,75690.235202
2875.257076,-2516.700203,3552.988522,79061.055394
2875.259623,740.205942,2812.782580,82431.875585
2875.262169,1628.453072,296.082377,81359.341888
2875.264715,-2368.659014,-888.247130,76762.768900
2875.267261,-5625.565159,-148.041188,75537.016103
2875.269808,-3701.029710,444.123565,79673.931792
2875.272354,1480.411884,-740.205942,82891.532884
2875.274900,-592.164754,5477.523971,80133.589091
2875.277446,-5625.565159,6661.853478,75996.673402
2875.279993,-6513.812290,4885.359217,76609.549800
2875.282539,-2516.700203,-1184.329507,80440.027290
2875.285085,148.041188,-47225.139100,85496.257577
2875.287632,-7550.100608,52702.663070,79214.274493
2875.290178,-7846.182985,7254.018232,73851.606007
2875.292724,30792.567187,18209.066173,75843.454302
2875.295270,-7550.100608,9178.553681,76303.111601
2875.297817,10510.924376,-33901.432144,84270.504780
2875.300363,3552.988522,-4293.194464,82278.656485
2875.302909,-19985.560434,5921.647536,74311.263306
2875.305455,2664.741391,-10066.800811,76609.549800
2875.308002,5477.523971,-3552.988522,79673.931792
2875.310548,7846.182985,-10510.924376,81972.218286
2875.313094,148.041188,3701.029710,80746.465489
2875.315640,-6365.771101,4441.235652,77375.645298
2875.318187,0.000000,8734.430116,76609.549800
2875.320733,-11251.130318,3552.988522,79061.055394
2875.323279,5625.565159,7550.100608,82278.656485
2875.325826,-1332.370696,2960.823768,79980.369991
2875.328372,-3997.112087,6957.935855,77682.083497
2875.330912,-2368.659014,14508.036463,77528.864398
2875.333451,-10066.800811,3404.947333,77988.521696
2875.335991,-148.041188,6217.729913,84270.504780
2875.338531,4293.194464,-9030.512492,78754.617194
2875.341071,7105.977043,40415.244433,74924.139704
2875.343611,11843.295072,21021.848753,73851.606007
2875.346151,11695.253884,-76241.212026,83197.971083
2875.348690,-10362.883188,70615.646867,79061.055394
2875.351230,-2664.741391,-52110.498317,82431.875585
2875.353770,-3849.070898,4737.318029,78601.398095
2875.356310,-27683.702231,82903.065504,73851.606007
2875.358850,15544.324782,-74908.841330,81359.341888
2875.361389,35974.008781,-47669.262665,84117.285680
2875.363929,-23834.631332,40859.367998,75996.673402
2875.366469,5625.565159,-38786.791361,78907.836294
2875.369009,-13619.789333,52258.539505,75996.673402
2875.371549,-13471.748144,888.247130,79061.055394
2875.374089,23094.425390,-4885.359217,83044.751983
2875.376628,-10510.924376,35974.008781,76609.549800
2875.379168,1036.288319,11991.336260,78448.178995
2875.381708,-7550.100608,3849.070898,77375.645298
2875.384248,-1924.535449,-8734.430116,79827.150892
2875.386788,13175.665768,-10066.800811,83044.751983
2875.389327,5181.441594,12583.501014,79367.493593
2875.391867,1924.535449,1480.411884,76762.768900
2875.394407,-3108.864956,7846.182985,74617.701505
2875.396947,-2220.617826,6809.894666,79827.150892
2875.399487,10658.965565,-2960.823768,84117.285680
2875.402027,-2072.576638,-11991.336260,79827.150892
2875.404566,-7994.224174,-15100.201217,76149.892501
2875.407106,1628.453072,2516.700203,79980.369991
2875.409646,-16136.489536,13915.871710,78601.398095
2875.412186,3256.906145,-740.205942,82891.532884
2875.414726,-3404.947333,-2664.741391,77222.426198
2875.417266,-12583.501014,-592.164754,76303.111601
2875.419805,148.041188,-3552.988522,81972.218286
2875.422345,-8586.388927,-592.164754,79520.712692
2875.424885,-888.247130,-592.164754,79061.055394
2875.427425,1332.370696,-2812.782580,79520.712692
2875.429965,-8290.306550,1628.453072,78141.740796
2875.432496,-592.164754,-5033.400406,77682.083497
2875.435031,-3108.864956,592.164754,80899.684589
2875.437565,7402.059420,7254.018232,78754.617194
2875.440099,-1036.288319,2368.659014,80746.465489
2875.442634,-18357.107362,6513.812290,77222.426198
2875.445168,-9474.636058,38786.791361,75077.358804
2875.447703,-6957.935855,-26351.331535,83044.751983
2875.450237,3997.112087,15396.283594,80286.808190
2875.452771,-17616.901420,11547.212695,76915.987999
2875.455306,-5181.441594,-79053.994606,86415.572174
2875.457840,-26795.455100,50185.962868,75537.016103
2875.460375,-21021.848753,24278.754898,74924.139704
2875.462909,36418.132346,10066.800811,86415.572174
2875.465443,-28868.031738,23094.425390,78907.836294
2875.467978,18653.189738,-41007.409187,82125.437386
2875.470512,6365.771101,-6513.812290,79367.493593
2875.473046,-17764.942608,3256.906145,79214.274493
2875.475581,-1776.494261,-18061.024985,80593.246390
2875.478115,8290.306550,-3552.988522,78448.178995
2875.480650,-6809.894666,-7254.018232,77835.302597
2875.483184,-4885.359217,-740.205942,79673.931792
2875.485718,-5625.565159,10658.965565,80746.465489
2875.488253,8882.471304,-13175.665768,81818.999186
2875.490787,-7994.224174,-4885.359217,76762.768900
2875.493322,-2664.741391,2516.700203,76456.330700
2875.495856,-5625.565159,6513.812290,79214.274493
2875.498390,-888.247130,-2664.741391,83044.751983
2875.500925,5773.606348,-2664.741391,79827.150892
2875.503459,-12139.377449,12583.501014,74924.139704
2875.505993,2516.700203,11695.253884,79061.055394
2875.508528,-3256.906145,-740.205942,79827.150892
2875.511062,444.123565,17024.736666,79367.493593
2875.513597,888.247130,-10510.924376,79214.274493
2875.516131,-3404.947333,4885.359217,79367.493593
2875.518665,-6661.853478,740.205942,78907.836294
2875.521200,-2664.741391,5625.565159,77682.083497
2875.523734,-2812.782580,20133.601622,80440.027290
2875.526268,0.000000,12583.501014,79367.493593
2875.528803,-2220.617826,148.041188,77835.302597
2875.531337,-4589.276840,18209.066173,78601.398095
2875.533868,-13619.789333,-19985.560434,83044.751983
2875.536398,1332.370696,-13323.706956,80286.808190
2875.538929,4293.194464,-15988.448347,80133.589091
2875.541460,3404.947333,-37602.461854,78907.836294
2875.543990,-29904.320057,77425.541533,75383.797003
