#time,accel_x,accel_y,accel_z
227.366202,2368.659014,-2516.700203,78907.836294
227.368747,5181.441594,-1628.453072,79214.274493
227.371292,5329.482782,-740.205942,78754.617194
227.373837,3849.070898,-3256.906145,79061.055394
227.376382,4145.153275,-2516.700203,79520.712692
227.378927,5477.523971,-1332.370696,78601.398095
227.381472,2664.741391,-1628.453072,78141.740796
227.384016,2368.659014,-2664.741391,79520.712692
227.386561,5477.523971,-148.041188,79520.712692
227.389106,4145.153275,-1036.288319,78601.398095
227.391651,1924.535449,-2812.782580,78448.178995
227.394196,2812.782580,-2812.782580,78907.836294
227.396741,5773.606348,-148.041188,79214.274493
227.399286,3552.988522,-1480.411884,78907.836294
227.401831,3997.112087,-2516.700203,78754.617194
227.404376,4737.318029,-2664.741391,79061.055394
227.406921,4885.359217,-740.205942,78907.836294
227.409466,2664.741391,-2072.576638,78141.740796
227.412011,2664.741391,-2664.741391,79673.931792
227.414555,5921.647536,-1184.329507,79980.369991
227.417100,4145.153275,-1924.535449,77682.083497
227.419645,1776.494261,-3997.112087,78601.398095
227.422190,11251.130318,-5329.482782,78907.836294
227.424735,4293.194464,-12731.542202,78448.178995
227.427280,-2664.741391,8290.306550,79520.712692
227.429825,2368.659014,592.164754,79061.055394
227.432370,-8882.471304,-4293.194464,79520.712692
227.434915,-18505.148550,2368.659014,78601.398095
227.437460,-7698.141797,-9622.677246,77682.083497
227.440005,5477.523971,-12583.501014,79673.931792
227.442549,17320.819043,2368.659014,76303.111601
227.445094,5477.523971,14656.077652,78601.398095
227.447639,-3108.864956,888.247130,80286.808190
227.450179,6957.935855,11103.089130,81206.122788
227.452718,-6661.853478,-24278.754898,78754.617194
227.455257,21614.013506,-1332.370696,79214.274493
227.457796,-888.247130,22946.384202,79520.712692
227.460336,-15988.448347,2960.823768,80746.465489
227.462875,6365.771101,-22798.343014,76456.330700
227.465414,25315.043216,-20281.642811,78754.617194
227.467953,5773.606348,31088.649564,80899.684589
227.470492,10807.006753,-10807.006753,75537.016103
227.473032,28127.825796,-11547.212695,76149.892501
227.475571,11103.089130,20725.766376,81818.999186
227.478110,-296.082377,-13027.624579,81665.780087
227.480649,6661.853478,-4737.318029,76149.892501
227.483189,5181.441594,-4145.153275,76456.330700
227.485728,11251.130318,-10214.842000,81359.341888
227.488267,14508.036463,12435.459826,80440.027290
227.490806,-3404.947333,5477.523971,79367.493593
227.493346,296.082377,-16136.489536,77375.645298
227.495885,13619.789333,0.000000,77682.083497
227.498424,21169.889941,5181.441594,78907.836294
227.500963,12879.583391,-6661.853478,78141.740796
227.503503,7698.141797,-4441.235652,80440.027290
227.506042,12435.459826,14359.995275,77835.302597
227.508581,11399.171507,-2812.782580,76915.987999
227.511120,6513.812290,-1184.329507,79061.055394
227.513660,16432.571912,-1776.494261,80746.465489
227.516199,7846.182985,-25759.166782,78294.959896
227.518738,7994.224174,22946.384202,79214.274493
227.521277,-6217.729913,21910.095883,79367.493593
227.523816,2812.782580,-31384.731941,77528.864398
227.526356,12287.418637,-23834.631332,77988.521696
227.528895,8290.306550,24130.713709,79214.274493
227.531434,31680.814318,-54331.116143,75690.235202
227.533973,11991.336260,19097.313304,76303.111601
227.536513,13323.706956,41303.491564,79214.274493
227.539052,14359.995275,-51518.333563,79214.274493
227.541591,-37750.503042,-2516.700203,76303.111601
227.544130,1332.370696,5773.606348,79520.712692
227.546670,7550.100608,-3552.988522,80899.684589
227.549209,-2368.659014,32272.979071,82585.094684
227.551614,-2072.576638,21169.889941,81052.903688
227.554019,4737.318029,-26203.290347,75996.673402
227.556424,-14359.995275,-41007.409187,75996.673402
227.558830,-12583.501014,3552.988522,80746.465489
227.561235,18061.024985,8438.347739,81665.780087
227.563640,6217.729913,-12435.459826,78601.398095
227.566045,-3701.029710,-1332.370696,75230.577904
227.568450,-10510.924376,-17024.736666,77682.083497
227.570855,6365.771101,10214.842000,79827.150892
