freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.402e+02,6.755e+01,4.965e+01,6.574e+02
1.5,5.428e+02,3.099e+02,2.493e+02,1.102e+03
3.0,3.117e+02,3.237e+02,2.935e+02,9.290e+02
4.5,5.461e+02,3.201e+02,2.942e+02,1.160e+03
6.0,1.343e+03,3.306e+02,3.021e+02,1.976e+03
7.5,2.057e+03,3.378e+02,2.913e+02,2.686e+03
9.0,2.910e+03,3.719e+02,2.976e+02,3.580e+03
10.5,4.028e+03,3.747e+02,2.942e+02,4.697e+03
12.0,5.451e+03,3.716e+02,3.070e+02,6.130e+03
13.5,7.212e+03,3.910e+02,3.554e+02,7.959e+03
15.0,8.962e+03,3.630e+02,3.290e+02,9.655e+03
16.5,1.033e+04,3.494e+02,2.700e+02,1.095e+04
18.0,1.181e+04,3.513e+02,2.532e+02,1.242e+04
19.5,1.406e+04,3.832e+02,2.970e+02,1.474e+04
21.0,1.733e+04,3.757e+02,2.854e+02,1.799e+04
22.5,2.135e+04,3.882e+02,2.793e+02,2.202e+04
24.0,2.504e+04,4.270e+02,2.835e+02,2.575e+04
25.5,2.768e+04,3.793e+02,2.912e+02,2.835e+04
27.0,3.201e+04,3.676e+02,2.933e+02,3.267e+04
28.5,3.779e+04,3.960e+02,2.609e+02,3.844e+04
30.0,4.467e+04,3.928e+02,2.595e+02,4.532e+04
31.5,5.269e+04,3.683e+02,2.892e+02,5.335e+04
33.0,6.148e+04,3.564e+02,3.152e+02,6.215e+04
34.5,7.243e+04,3.884e+02,3.268e+02,7.314e+04
36.0,8.620e+04,4.061e+02,3.718e+02,8.698e+04
37.5,1.043e+05,4.510e+02,4.217e+02,1.052e+05
39.0,1.242e+05,5.584e+02,4.067e+02,1.251e+05
40.5,1.394e+05,5.901e+02,4.139e+02,1.404e+05
42.0,1.493e+05,4.892e+02,4.867e+02,1.502e+05
43.5,1.727e+05,4.275e+02,5.338e+02,1.736e+05
45.0,2.164e+05,4.755e+02,5.912e+02,2.175e+05
46.5,2.806e+05,5.374e+02,7.904e+02,2.820e+05
48.0,3.671e+05,7.462e+02,1.025e+03,3.689e+05
49.5,4.937e+05,1.756e+03,1.773e+03,4.972e+05
51.0,6.748e+05,3.646e+03,2.939e+03,6.814e+05
52.5,1.031e+06,6.531e+03,4.871e+03,1.043e+06
54.0,1.741e+06,1.343e+04,4.948e+03,1.760e+06
55.5,2.436e+06,2.658e+04,3.817e+03,2.466e+06
57.0,2.505e+06,3.234e+04,5.826e+03,2.544e+06
58.5,2.063e+06,2.572e+04,9.164e+03,2.098e+06
60.0,1.489e+06,1.725e+04,1.035e+04,1.517e+06
61.5,1.024e+06,1.234e+04,9.072e+03,1.046e+06
63.0,6.947e+05,9.891e+03,6.435e+03,7.110e+05
64.5,4.634e+05,7.688e+03,3.536e+03,4.747e+05
66.0,3.034e+05,5.154e+03,1.761e+03,3.104e+05
67.5,1.975e+05,2.530e+03,1.630e+03,2.016e+05
69.0,1.269e+05,1.039e+03,2.047e+03,1.300e+05
70.5,7.726e+04,6.863e+02,2.481e+03,8.042e+04
72.1,4.769e+04,6.962e+02,2.755e+03,5.114e+04
73.6,3.956e+04,6.622e+02,2.408e+03,4.263e+04
75.1,5.305e+04,6.294e+02,1.872e+03,5.555e+04
76.6,1.021e+05,9.528e+02,5.005e+03,1.081e+05
78.1,1.469e+05,1.581e+03,9.806e+03,1.583e+05
79.6,1.443e+05,1.864e+03,9.233e+03,1.554e+05
81.1,1.395e+05,2.044e+03,7.210e+03,1.487e+05
82.6,1.474e+05,2.485e+03,6.066e+03,1.559e+05
84.1,1.735e+05,2.256e+03,3.518e+03,1.792e+05
85.6,1.779e+05,1.565e+03,1.592e+03,1.810e+05
87.1,1.488e+05,9.922e+02,6.036e+02,1.504e+05
88.6,1.285e+05,8.933e+02,5.050e+02,1.299e+05
90.1,1.293e+05,1.310e+03,9.448e+02,1.316e+05
91.6,1.340e+05,1.967e+03,1.715e+03,1.377e+05
93.1,1.131e+05,2.368e+03,2.484e+03,1.180e+05
94.6,6.977e+04,2.141e+03,4.504e+03,7.642e+04
96.1,6.072e+04,3.145e+03,6.259e+03,7.012e+04
97.6,6.662e+04,3.694e+03,4.121e+03,7.443e+04
99.1,5.587e+04,2.613e+03,1.108e+03,5.959e+04
100.6,4.207e+04,2.192e+03,7.427e+02,4.500e+04
102.1,3.215e+04,2.299e+03,7.090e+02,3.516e+04
103.6,2.523e+04,2.157e+03,6.599e+02,2.805e+04
105.1,2.040e+04,2.232e+03,1.609e+03,2.424e+04
106.6,1.806e+04,1.824e+03,2.147e+03,2.203e+04
108.1,1.772e+04,1.478e+03,1.950e+03,2.115e+04
109.6,1.767e+04,1.473e+03,2.316e+03,2.146e+04
111.1,1.782e+04,1.501e+03,3.160e+03,2.248e+04
112.6,1.690e+04,1.383e+03,3.791e+03,2.207e+04
114.1,1.671e+04,1.180e+03,4.190e+03,2.208e+04
115.6,1.735e+04,1.102e+03,5.194e+03,2.365e+04
117.1,1.915e+04,1.536e+03,7.886e+03,2.857e+04
118.6,2.024e+04,1.073e+03,5.885e+03,2.719e+04
120.1,2.065e+04,7.071e+02,5.278e+03,2.664e+04
121.6,2.042e+04,5.603e+02,5.607e+03,2.659e+04
123.1,1.999e+04,4.888e+02,5.787e+03,2.627e+04
124.6,1.875e+04,4.939e+02,5.841e+03,2.509e+04
126.1,1.767e+04,4.879e+02,5.848e+03,2.401e+04
127.6,1.890e+04,5.702e+02,6.840e+03,2.631e+04
129.1,2.016e+04,6.904e+02,7.902e+03,2.875e+04
130.6,1.991e+04,6.670e+02,8.298e+03,2.888e+04
132.1,1.660e+04,7.371e+02,7.477e+03,2.481e+04
133.6,8.946e+03,5.651e+02,4.291e+03,1.380e+04
135.1,8.163e+03,4.672e+02,3.749e+03,1.238e+04
136.6,1.162e+04,4.680e+02,5.190e+03,1.728e+04
138.1,1.371e+04,5.038e+02,5.800e+03,2.001e+04
139.6,1.317e+04,5.334e+02,5.269e+03,1.897e+04
141.1,1.080e+04,5.608e+02,4.755e+03,1.611e+04
142.6,8.448e+03,5.642e+02,4.489e+03,1.350e+04
144.1,5.994e+03,5.606e+02,3.919e+03,1.047e+04
145.6,3.696e+03,5.878e+02,3.255e+03,7.539e+03
147.1,2.227e+03,5.408e+02,2.681e+03,5.449e+03
148.6,2.032e+03,5.220e+02,2.400e+03,4.954e+03
150.1,2.131e+03,5.614e+02,2.207e+03,4.899e+03
