freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.581e+01,5.440e+01,5.461e+02,6.163e+02
1.6,2.043e+01,4.269e+01,3.254e+02,3.885e+02
3.1,1.512e+01,1.580e+01,3.701e+01,6.794e+01
4.7,1.475e+01,1.658e+01,3.726e+02,4.039e+02
6.2,1.495e+01,1.834e+01,1.313e+03,1.346e+03
7.8,1.604e+01,1.927e+01,2.268e+03,2.303e+03
9.4,1.774e+01,2.063e+01,3.460e+03,3.498e+03
10.9,1.698e+01,2.526e+01,5.171e+03,5.213e+03
12.5,1.688e+01,2.846e+01,7.771e+03,7.816e+03
14.0,1.722e+01,4.558e+01,1.259e+04,1.265e+04
15.6,1.964e+01,6.923e+01,1.602e+04,1.611e+04
17.2,2.324e+01,3.947e+01,1.058e+04,1.064e+04
18.7,2.312e+01,3.699e+01,1.359e+04,1.365e+04
20.3,1.858e+01,6.715e+01,2.090e+04,2.098e+04
21.8,1.654e+01,1.284e+02,3.025e+04,3.039e+04
23.4,2.422e+01,2.414e+02,4.380e+04,4.407e+04
24.9,4.683e+01,4.716e+02,6.447e+04,6.499e+04
26.5,5.648e+01,1.002e+03,9.763e+04,9.869e+04
28.1,5.453e+01,1.603e+03,1.312e+05,1.329e+05
29.6,5.487e+01,2.404e+03,1.786e+05,1.810e+05
31.2,5.757e+01,3.696e+03,2.882e+05,2.919e+05
32.7,6.880e+01,5.256e+03,5.030e+05,5.084e+05
34.3,2.696e+02,1.506e+04,8.310e+05,8.463e+05
35.9,9.679e+02,3.857e+04,1.103e+06,1.142e+06
37.4,1.576e+03,6.289e+04,1.288e+06,1.352e+06
39.0,1.053e+03,6.918e+04,1.209e+06,1.279e+06
40.5,3.094e+02,5.245e+04,8.210e+05,8.738e+05
42.1,5.064e+01,3.382e+04,4.736e+05,5.075e+05
43.7,7.915e+01,2.071e+04,2.646e+05,2.854e+05
45.2,2.931e+02,1.551e+04,1.793e+05,1.951e+05
46.8,6.300e+02,1.800e+04,1.579e+05,1.765e+05
48.3,5.535e+02,2.626e+04,1.483e+05,1.751e+05
49.9,1.766e+03,3.119e+04,1.355e+05,1.685e+05
51.5,4.745e+03,2.887e+04,1.289e+05,1.626e+05
53.0,7.511e+03,2.464e+04,1.389e+05,1.710e+05
54.6,7.572e+03,2.184e+04,1.547e+05,1.841e+05
56.1,6.774e+03,2.081e+04,1.571e+05,1.847e+05
57.7,5.127e+03,2.151e+04,1.494e+05,1.760e+05
59.2,4.743e+03,2.224e+04,1.315e+05,1.585e+05
60.8,4.806e+03,2.393e+04,1.094e+05,1.382e+05
62.4,4.339e+03,2.905e+04,8.963e+04,1.230e+05
63.9,3.697e+03,3.617e+04,7.217e+04,1.120e+05
65.5,3.276e+03,4.173e+04,5.793e+04,1.029e+05
67.0,4.097e+03,4.217e+04,4.645e+04,9.271e+04
68.6,6.253e+03,3.930e+04,3.665e+04,8.220e+04
70.2,9.133e+03,3.969e+04,2.857e+04,7.740e+04
71.7,1.154e+04,4.160e+04,2.227e+04,7.541e+04
73.3,1.285e+04,4.160e+04,1.691e+04,7.136e+04
74.8,1.392e+04,4.304e+04,1.311e+04,7.007e+04
76.4,1.265e+04,5.107e+04,1.279e+04,7.651e+04
78.0,1.214e+04,6.377e+04,1.469e+04,9.060e+04
79.5,1.130e+04,7.689e+04,1.497e+04,1.032e+05
81.1,1.108e+04,7.705e+04,1.320e+04,1.013e+05
82.6,8.426e+03,6.317e+04,1.169e+04,8.329e+04
84.2,7.696e+03,4.764e+04,1.168e+04,6.701e+04
85.8,7.529e+03,3.535e+04,1.198e+04,5.486e+04
87.3,7.702e+03,2.476e+04,1.210e+04,4.456e+04
88.9,1.150e+04,2.355e+04,1.164e+04,4.669e+04
90.4,1.311e+04,2.750e+04,9.096e+03,4.970e+04
92.0,1.006e+04,2.576e+04,5.923e+03,4.174e+04
93.5,7.272e+03,2.518e+04,5.066e+03,3.751e+04
95.1,4.647e+03,3.374e+04,8.005e+03,4.639e+04
96.7,5.117e+03,5.047e+04,1.201e+04,6.760e+04
98.2,1.273e+04,6.836e+04,1.641e+04,9.749e+04
99.8,2.566e+04,8.826e+04,2.128e+04,1.352e+05
101.3,3.795e+04,1.077e+05,2.519e+04,1.709e+05
102.9,4.827e+04,1.126e+05,2.865e+04,1.895e+05
104.5,5.550e+04,1.035e+05,3.152e+04,1.906e+05
106.0,6.015e+04,9.109e+04,3.323e+04,1.845e+05
107.6,6.512e+04,7.643e+04,3.460e+04,1.762e+05
109.1,7.215e+04,6.241e+04,3.753e+04,1.721e+05
110.7,7.175e+04,5.348e+04,3.966e+04,1.649e+05
112.3,7.059e+04,4.763e+04,4.129e+04,1.595e+05
113.8,8.402e+04,4.992e+04,4.764e+04,1.816e+05
115.4,1.170e+05,6.031e+04,6.001e+04,2.373e+05
116.9,1.242e+05,4.257e+04,6.316e+04,2.299e+05
118.5,1.385e+05,3.273e+04,6.434e+04,2.355e+05
120.1,1.398e+05,2.663e+04,5.769e+04,2.241e+05
121.6,1.242e+05,2.167e+04,4.489e+04,1.908e+05
123.2,9.710e+04,1.764e+04,3.030e+04,1.450e+05
124.7,6.909e+04,1.507e+04,1.801e+04,1.022e+05
126.3,4.530e+04,1.434e+04,9.239e+03,6.887e+04
127.8,3.207e+04,1.389e+04,5.928e+03,5.189e+04
129.4,2.470e+04,1.265e+04,5.182e+03,4.253e+04
131.0,2.194e+04,1.091e+04,4.251e+03,3.711e+04
132.5,1.535e+04,7.419e+03,3.218e+03,2.599e+04
134.1,5.277e+03,1.553e+03,1.901e+03,8.731e+03
135.6,1.759e+03,1.599e+02,1.324e+03,3.243e+03
137.2,8.794e+02,1.915e+02,8.116e+02,1.882e+03
138.8,6.317e+02,3.377e+02,5.087e+02,1.478e+03
140.3,7.001e+02,6.863e+02,6.073e+02,1.994e+03
141.9,9.049e+02,8.975e+02,7.912e+02,2.594e+03
143.4,1.046e+03,8.077e+02,1.068e+03,2.922e+03
145.0,1.094e+03,8.154e+02,1.565e+03,3.474e+03
146.6,1.417e+03,8.992e+02,1.822e+03,4.138e+03
148.1,1.811e+03,9.509e+02,1.983e+03,4.744e+03
149.7,1.930e+03,1.143e+03,2.249e+03,5.322e+03
151.2,1.797e+03,2.003e+03,2.042e+03,5.843e+03
152.8,1.791e+03,3.073e+03,2.391e+03,7.254e+03
154.4,1.713e+03,3.692e+03,3.055e+03,8.460e+03
155.9,1.633e+03,3.544e+03,3.603e+03,8.780e+03
157.5,1.545e+03,2.953e+03,4.011e+03,8.510e+03
159.0,1.341e+03,2.220e+03,4.103e+03,7.664e+03
160.6,1.137e+03,1.755e+03,4.016e+03,6.907e+03
162.1,1.012e+03,1.527e+03,3.689e+03,6.228e+03
163.7,8.681e+02,1.205e+03,2.908e+03,4.981e+03
165.3,6.932e+02,8.412e+02,2.433e+03,3.968e+03
166.8,5.700e+02,6.025e+02,2.220e+03,3.392e+03
168.4,3.726e+02,5.389e+02,1.777e+03,2.689e+03
169.9,2.417e+02,4.750e+02,1.216e+03,1.932e+03
171.5,2.212e+02,3.744e+02,5.578e+02,1.153e+03
173.1,2.693e+02,3.319e+02,6.627e+02,1.264e+03
174.6,3.623e+02,5.676e+02,1.225e+03,2.155e+03
176.2,4.662e+02,1.055e+03,1.699e+03,3.220e+03
177.7,5.113e+02,1.319e+03,2.169e+03,3.999e+03
179.3,5.144e+02,1.445e+03,2.894e+03,4.853e+03
180.9,5.359e+02,1.289e+03,3.572e+03,5.398e+03
182.4,6.137e+02,1.147e+03,3.824e+03,5.584e+03
184.0,5.452e+02,9.208e+02,3.752e+03,5.218e+03
185.5,4.477e+02,8.075e+02,3.643e+03,4.898e+03
187.1,4.209e+02,7.279e+02,3.817e+03,4.966e+03
188.7,3.682e+02,6.941e+02,3.221e+03,4.283e+03
190.2,3.068e+02,5.823e+02,2.276e+03,3.165e+03
191.8,3.065e+02,5.000e+02,1.807e+03,2.613e+03
193.3,3.333e+02,5.619e+02,1.977e+03,2.872e+03
194.9,4.298e+02,7.977e+02,2.357e+03,3.585e+03
196.4,5.336e+02,1.106e+03,2.641e+03,4.281e+03
198.0,5.991e+02,1.269e+03,2.883e+03,4.752e+03
199.6,6.018e+02,1.359e+03,3.222e+03,5.183e+03
